Cards,Move History,Outcome
"10, 3, 4, 1, 7, 3, 3, 1, 11, 4, 6, 1","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 175 to 275'), (0, 'folds'), (1, 'calls 175'), (1, 'checks'), (5, 'checks'), (1, 'checks'), (5, 'bets 450'), (1, 'raises 1125 to 1575'), (5, 'folds')]",0
"10, 3, 1, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'raises 150 to 250'), (0, 'raises 487 to 737'), (1, 'folds'), (2, 'folds'), (5, 'folds')]",1
"2, 2, 1, 3, 11, 2, 5, 4, 3, 3, 5, 3, 5, 2","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'calls 110'), (3, 'checks'), (4, 'bets 235'), (3, 'calls 235'), (3, 'checks'), (4, 'checks'), (3, 'bets 250'), (4, 'raises 800 to 1050'), (3, 'folds')]",0
"2, 2, 2, 4","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds')]",0
"12, 3, 8, 1, 8, 3, 6, 3, 5, 2, 5, 3, 11, 2","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'calls 150'), (5, 'checks'), (2, 'checks'), (5, 'checks'), (2, 'checks'), (5, 'bets 275'), (2, 'calls 275'), (2, 'shows [9h Ad]')]",0
"3, 3, 5, 1","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",1
"9, 2, 4, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds')]",0
"13, 2, 4, 3, 9, 3, 5, 3, 13, 3","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'checks'), (1, 'checks'), (2, 'bets 150'), (1, 'folds')]",0
"7, 1, 13, 1, 1, 2, 4, 1, 2, 1, 2, 2, 10, 4","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 125 to 225'), (1, 'folds'), (2, 'folds'), (3, 'calls 125'), (3, 'checks'), (0, 'bets 250'), (3, 'calls 250'), (3, 'checks'), (0, 'checks'), (3, 'bets 500'), (0, 'folds')]",0
"11, 2, 12, 2, 3, 3, 4, 3, 10, 3, 1, 4, 5, 1","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'calls 200'), (2, 'folds'), (3, 'folds'), (4, 'calls 100'), (4, 'checks'), (0, 'bets 325'), (1, 'calls 325'), (4, 'raises 675 to 1000'), (0, 'folds'), (1, 'calls 675'), (4, 'checks'), (1, 'bets 2231'), (4, 'calls 2231'), (4, 'checks'), (1, 'checks'), (4, 'shows [6c Jc]')]",0
"4, 1, 9, 1, 8, 1, 11, 4, 13, 2, 12, 1, 1, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'calls 125'), (5, 'checks'), (1, 'bets 210'), (5, 'calls 210'), (5, 'checks'), (1, 'checks'), (5, 'bets 690'), (1, 'folds')]",0
"4, 1, 1, 3","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",1
"12, 2, 9, 1","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 175 to 275'), (0, 'folds'), (1, 'folds')]",0
"2, 4, 3, 1, 7, 1, 1, 1, 1, 2, 11, 3, 5, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'checks'), (1, 'checks'), (2, 'bets 100'), (1, 'calls 100'), (1, 'checks'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (1, 'shows [Tc 7c]')]",0
"1, 2, 13, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 150 to 250'), (1, 'folds'), (2, 'folds'), (3, 'folds')]",1
"1, 3, 4, 2, 11, 3, 5, 3, 12, 3, 3, 3, 9, 1","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'raises 200 to 300'), (4, 'calls 200'), (3, 'checks'), (4, 'checks'), (3, 'checks'), (4, 'checks'), (3, 'checks'), (4, 'bets 300'), (3, 'calls 300'), (4, 'shows [4c 6c]')]",0
"6, 1, 4, 1, 13, 1, 10, 1, 6, 3, 12, 1","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'folds'), (3, 'calls 225'), (4, 'folds'), (5, 'calls 125'), (5, 'checks'), (1, 'bets 362'), (3, 'calls 362'), (5, 'folds'), (1, 'checks'), (3, 'bets 724'), (1, 'folds')]",0
"10, 4, 5, 4, 8, 2, 12, 3, 9, 1","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'calls 50'), (0, 'checks'), (5, 'bets 150'), (0, 'folds')]",0
"5, 1, 10, 3, 4, 2, 9, 1, 6, 3, 7, 4, 3, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 150'), (1, 'checks'), (2, 'bets 300'), (1, 'calls 300'), (1, 'checks'), (2, 'bets 850'), (1, 'calls 850'), (1, 'bets 2137'), (2, 'folds')]",0
"3, 3, 12, 2, 4, 1, 13, 3, 2, 3","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'raises 300 to 400'), (1, 'calls 300'), (1, 'checks'), (2, 'bets 450'), (1, 'folds')]",0
"8, 2, 1, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'folds'), (2, 'folds'), (3, 'folds')]",1
"6, 3, 13, 3, 8, 2, 2, 2, 9, 2, 6, 1, 1, 3","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 125 to 225'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'calls 125'), (4, 'checks'), (0, 'checks'), (4, 'checks'), (0, 'checks'), (4, 'checks'), (0, 'checks'), (0, 'shows [6c Kc]')]",1
"6, 3, 8, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",0
"8, 4, 9, 4, 12, 2, 9, 2, 2, 2, 10, 2, 7, 2","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'raises 125 to 225'), (4, 'folds'), (5, 'folds'), (0, 'calls 125'), (0, 'checks'), (3, 'bets 277'), (0, 'raises 527 to 804'), (3, 'calls 527'), (0, 'bets 1054'), (3, 'calls 1054'), (0, 'bets 2108'), (3, 'folds')]",1
"10, 3, 10, 2, 6, 1, 4, 2, 3, 2, 8, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'calls 160'), (1, 'calls 110'), (0, 'checks'), (1, 'checks'), (4, 'checks'), (0, 'bets 315'), (1, 'folds'), (4, 'folds')]",1
"13, 4, 7, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'raises 125 to 225'), (1, 'folds'), (2, 'folds')]",1
"4, 3, 5, 3, 1, 2, 12, 1, 12, 4, 11, 1","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 150 to 250'), (1, 'folds'), (2, 'raises 800 to 1050'), (3, 'folds'), (0, 'calls 800'), (2, 'checks'), (0, 'checks'), (2, 'checks'), (0, 'bets 1100'), (2, 'folds')]",1
"12, 3, 13, 2, 5, 1, 11, 1, 10, 2","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'calls 100'), (4, 'checks'), (0, 'bets 225'), (4, 'folds')]",1
"11, 1, 9, 2","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'raises 900 to 1150'), (2, 'folds')]",0
"13, 1, 11, 2, 11, 1, 1, 3, 8, 3","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'raises 150 to 250'), (5, 'folds'), (0, 'calls 150'), (0, 'checks'), (4, 'bets 600'), (0, 'folds')]",0
"8, 1, 3, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'folds'), (1, 'folds')]",0
"9, 1, 10, 2","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'raises 187 to 287'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds')]",0
"1, 4, 1, 1, 12, 1, 13, 3, 5, 1, 13, 4, 6, 4","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'calls 200'), (2, 'raises 1050 to 1250'), (3, 'folds'), (0, 'calls 1050'), (1, 'calls 1050'), (2, 'checks'), (0, 'bets 1925'), (1, 'calls 1925'), (2, 'folds'), (0, 'checks'), (1, 'checks'), (0, 'checks'), (1, 'bets 6825 and is all-in'), (0, 'calls 6825 and is all-in'), (1, 'shows [5d 5c]')]",0
"13, 2, 6, 3","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'raises 300 to 400'), (4, 'folds')]",0
"12, 4, 4, 4","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'raises 575 to 800'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (1, 'folds')]",0
"11, 2, 1, 4, 12, 4, 5, 4, 7, 1, 9, 3, 6, 4","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'raises 150 to 250'), (5, 'folds'), (0, 'calls 150'), (0, 'checks'), (4, 'bets 180'), (0, 'calls 180'), (0, 'checks'), (4, 'checks'), (0, 'bets 455'), (4, 'folds')]",1
"13, 1, 11, 3, 5, 2, 7, 2, 1, 3, 5, 4, 3, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 150'), (1, 'checks'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (2, 'shows [Ks Js]')]",0
"2, 2, 10, 4, 1, 4, 1, 1, 11, 4, 12, 4, 10, 2","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'raises 125 to 225'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'calls 125'), (2, 'checks'), (3, 'checks'), (2, 'checks'), (3, 'checks'), (2, 'checks'), (3, 'bets 375'), (2, 'calls 375'), (2, 'shows [9c 8h]')]",0
"11, 4, 10, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'folds'), (2, 'folds'), (3, 'folds')]",1
"11, 3, 13, 2, 5, 4, 2, 4, 2, 3, 10, 1","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'folds'), (2, 'folds'), (3, 'calls 150'), (4, 'calls 100'), (3, 'checks'), (4, 'checks'), (0, 'checks'), (3, 'bets 400'), (4, 'folds'), (0, 'folds')]",0
"9, 3, 9, 4, 6, 1, 8, 2, 6, 2, 13, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'raises 125 to 225'), (1, 'calls 225'), (2, 'raises 975 to 1200'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 975'), (1, 'checks'), (2, 'checks'), (1, 'checks'), (2, 'bets 1350'), (1, 'folds')]",0
"4, 2, 5, 1","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds')]",0
"1, 2, 4, 3","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'raises 100 to 200'), (0, 'folds'), (1, 'folds'), (2, 'folds')]",0
"8, 2, 7, 2, 3, 3, 2, 1, 8, 4","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'raises 100 to 200'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'calls 100'), (3, 'checks'), (5, 'bets 250'), (3, 'folds')]",0
"5, 2, 1, 2, 9, 4, 8, 2, 12, 3","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 125 to 225'), (1, 'calls 225'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (0, 'checks'), (1, 'bets 300'), (0, 'folds')]",0
"11, 1, 5, 1, 5, 2, 13, 2, 10, 1, 1, 3, 7, 2","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'raises 125 to 225'), (4, 'folds'), (5, 'raises 875 to 1100'), (3, 'raises 1458 to 2558'), (5, 'raises 4097 to 6655'), (3, 'raises 3345 to 10000 and is all-in'), (5, 'calls 3345 and is all-in'), (5, 'shows [Ks Kh]')]",0
"6, 1, 4, 4","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds')]",0
"2, 4, 9, 2","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 100 to 200'), (0, 'folds'), (1, 'folds')]",0
"11, 1, 10, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'raises 125 to 225'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds')]",0
"8, 3, 9, 4","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds')]",0
"9, 2, 9, 3","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds')]",1
"5, 3, 9, 1, 10, 1, 10, 4, 1, 4, 3, 4, 4, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'folds'), (3, 'calls 225'), (4, 'folds'), (5, 'folds'), (1, 'checks'), (3, 'bets 300'), (1, 'calls 300'), (1, 'checks'), (3, 'bets 600'), (1, 'calls 600'), (1, 'checks'), (3, 'checks'), (1, 'shows [Ad Qc]')]",0
"1, 1, 6, 4","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 250 to 350'), (0, 'raises 700 to 1050'), (5, 'raises 1800 to 2850'), (0, 'folds')]",0
"13, 2, 11, 2, 3, 1, 6, 3, 1, 1","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'raises 125 to 225'), (4, 'raises 475 to 700'), (5, 'folds'), (0, 'folds'), (1, 'raises 1000 to 1700'), (3, 'folds'), (4, 'calls 1000'), (1, 'bets 1500'), (4, 'folds')]",0
"10, 1, 12, 2","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'raises 125 to 225'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'raises 700 to 925'), (3, 'folds')]",0
"12, 1, 3, 4, 1, 2, 7, 2, 7, 4, 5, 1, 12, 2","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'raises 100 to 200'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'calls 100'), (3, 'checks'), (5, 'bets 200'), (3, 'calls 200'), (3, 'checks'), (5, 'checks'), (3, 'bets 637'), (5, 'folds')]",0
"9, 3, 8, 3","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'raises 600 to 800'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (0, 'folds')]",0
"6, 3, 12, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'folds'), (3, 'raises 450 to 675'), (4, 'folds'), (5, 'folds'), (1, 'folds')]",0
"11, 1, 11, 4","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",1
